GUID,Cell Reference,CellValue_English,CellFormula_English,CellValue_Afrikaans,CellFormula_Afrikaans
A80ADA63,'[IFRS+ Financials.xlsx]Directors'!$D$63,The director has given due consideration to the potential impact of the COVID-19 pandemic on the company's ability to continue as a going concern. The director believes that the pandemic will have a temporary impact on the business activities. Not withstanding these short-term challenges the director is of the view that the company has sufficient resources to continue as a going concern.,"'=""The ""&LOWER(Director_board)&Director_has_have&"" given due consideration to the potential impact of the COVID-19 pandemic on the ""&GroupEntityCaseAp&"" ability to continue as a going concern. The ""&LOWER(Director_board)&Director_believe_s&"" that the pandemic will have a temporary impact on the business activities. Not withstanding these short-term challenges the ""&LOWER(Director_board)&Director_is_are&"" of the view that the ""&GroupEntityCase&"" has sufficient resources to continue as a going concern.""",Die direkteur het behoorlike oorweging geskenk aan die potensiële impak van die COVID-19-pandemie op die maatskappy se vermoë om as ‘n lopende saak voort te gaan. Die direkteur glo dat die pandemie ‘n tydelike impak op die besigheidsaktiwiteite sal hê. Ondanks hierdie korttermyn-uitdagings is die direkteur van mening dat die maatskappy oor voldoende hulpbronne beskik om as ‘n lopende saak voort te gaan.,"'=""Die ""&LOWER(Director_board)&Director_has_have&"" behoorlike oorweging geskenk aan die potensiële impak van die COVID-19-pandemie op die ""&GroupEntityCaseAp&"" vermoë om as ‘n lopende saak voort te gaan. Die ""&LOWER(Director_board)&Director_believe_s&"" dat die pandemie ‘n tydelike impak op die besigheidsaktiwiteite sal hê. Ondanks hierdie korttermyn-uitdagings is die ""&LOWER(Director_board)&Director_is_are&"" van mening dat die ""&GroupEntityCase&"" oor voldoende hulpbronne beskik om as ‘n lopende saak voort te gaan."""
1D47319F,'[IFRS+ Financials.xlsx]Directors'!$D$65,Provided,,Verskaf,"'=""Verskaf"""
EF9CBA12,'[IFRS+ Financials.xlsx]Directors'!$D$66,"The full impact of the COVID-19 outbreak continues to evolve at the date of this report. The company is therefore uncertain as to the full impact that the pandemic will have on its financial condition, liquidity, and future results of operations during the next 12 months. These events or conditions indicate the existence of a material uncertainty which may cast significant doubt on the company's ability to continue as a going concern.","'=""The full impact of the COVID-19 outbreak continues to evolve at the date of this report. The ""&GroupEntityCase&"" is therefore uncertain as to the full impact that the pandemic will have on its financial condition, liquidity, and future results of ""&""operations during the next 12 months. These events or conditions indicate the existence of a material uncertainty which may cast significant doubt on the ""&GroupEntityCaseAp&"" ability to continue as a going concern.""","Die volle impak van die COVID-19-uitbraak bly ontwikkel op die datum van hierdie verslag. Die maatskappy is derhalwe onseker oor die volle impak wat die pandemie op sy finansiële toestand, likiditeit en toekomstige bedryfsresultate gedurende die volgende 12 maande sal hê. Hierdie gebeurtenisse of toestande dui op die bestaan van ’n wesenlike onsekerheid wat beduidende twyfel kan werp oor die maatskappy se vermoë om as ’n lopende saak voort te gaan.","'=""Die volle impak van die COVID-19-uitbraak bly ontwikkel op die datum van hierdie verslag. Die ""&GroupEntityCase&"" is derhalwe onseker oor die volle impak wat die pandemie op sy finansiële toestand, likiditeit en toekomstige bedryfsresultate gedurende die volgende 12 maande sal hê. Hierdie gebeurtenisse of toestande dui op die bestaan van ’n wesenlike onsekerheid wat beduidende twyfel kan werp oor die ""&GroupEntityCaseAp&"" vermoë om as ’n lopende saak voort te gaan."""
6D69E08A,'[IFRS+ Financials.xlsx]Directors'!$D$68,"The ability of the company to continue as a going concern is dependent on a number of factors. The most significant of these is that the directors continue to procure funding for the ongoing operations for the company where the need arises. Management is comfortable that the [Insert/describe industry], will continue to operate since these services [or goods] fall within the ambit of what is allowed under government regulations during the nation-wide lockdown.",,"Die maatskappy se vermoë om as ’n lopende saak voort te gaan, is afhanklik van verskeie faktore. Die belangrikste hiervan is dat die direkteure voortgaan om befondsing te verseker vir die maatskappy se voortgesette bedrywighede waar dit nodig is. Bestuur is tevrede dat die [Voeg in/beskryf bedryf] sal voortgaan om te funksioneer aangesien hierdie dienste [of goedere] binne die bestek val van wat deur regeringsregulasies tydens die landwye inperking toegelaat word.","'=""Die maatskappy se vermoë om as ’n lopende saak voort te gaan, is afhanklik van verskeie faktore. Die belangrikste hiervan is dat die direkteure voortgaan om befondsing te verseker vir die maatskappy se voortgesette bedrywighede waar dit nodig is. Bestuur is tevrede dat die [Voeg in/beskryf bedryf] sal voortgaan om te funksioneer aangesien hierdie dienste [of goedere] binne die bestek val van wat deur regeringsregulasies tydens die landwye inperking toegelaat word."""
6E1B90EA,'[IFRS+ Financials.xlsx]Directors'!$D$70,Source Famous Brands Group Annual Financial Statements for the year ended 29 February 2020,,Bron: Famous Brands Groep Jaarlikse Finansiële State vir die jaar geëindig 29 Februarie 2020,"'""Bron: Famous Brands Groep Jaarlikse Finansiële State vir die jaar geëindig 29 Februarie 2020""'"
7D1E5FFF,'[IFRS+ Financials.xlsx]Directors'!$D$71,"The Board of Directors has considered the going concern assessment as prepared by management, including the company's outlook regarding trading conditions that will persist into the foreseeable future. This assessment is based on a range of varied scenarios (including assumptions regarding a worst-case scenario of a three month lockdown; the rate of return to normal trading; debt service and covenant requirements; working capital requirements; and relief measures implemented by the respective Governments in our various trading jurisdictions), and are satisfied that the company is a going concern for the foreseeable future based on the information available at the time of approval of the Annual Financial Statements.","'=""The ""&BoardDescription&"" has considered the going concern assessment as prepared by management, including the ""&GroupEntityCaseAp&"" outlook regarding trading conditions that will persist into the foreseeable future. This assessment is based on ""&""a range of varied scenarios (including assumptions regarding a worst-case scenario of a three month lockdown; the rate of return to normal trading; debt service and covenant requirements; working capital requirements; and relief ""&""measures implemented by the respective Governments in our various trading jurisdictions), and are satisfied that the ""&GroupEntityCase&"" is a going concern for the foreseeable future based on the information available at the time of approval of ""&""the ""&AFS_Name&"".""","Die Raad van Direkteure het die voortgesette ondernemingsvermoë-ontleding, soos opgestel deur die bestuur, oorweeg, insluitend die maatskappy se vooruitsigte ten opsigte van handelsomstandighede wat in die afsienbare toekoms sal voortduur. Hierdie ontleding is gebaseer op ’n reeks uiteenlopende scenario's (waaronder aannames oor ’n ergste-geval scenario van ’n drie maande inperking; die tempo van herstel na normale handelsaktiwiteite; skulddiens- en ooreenkomstige vereistes; werkkapitaalvereistes; en verligtingsmaatreëls geïmplementeer deur die onderskeie regerings in ons verskillende jurisdiksies), en is tevrede dat die maatskappy, gebaseer op die beskikbare inligting ten tyde van die goedkeuring van die Jaarlikse Finansiële State, ’n voortgesette onderneming is vir die afsienbare toekoms.","'=""Die ""&BoardDescription&"" het die voortgesette ondernemingsvermoë-ontleding, soos opgestel deur die bestuur, oorweeg, insluitend die ""&GroupEntityCaseAp&"" se vooruitsigte ten opsigte van handelsomstandighede wat in die afsienbare toekoms sal voortduur. Hierdie ontleding is gebaseer op 'n reeks uiteenlopende scenario's (waaronder aannames oor 'n ergste-geval scenario van 'n drie maande inperking; die tempo van herstel na normale handelsaktiwiteite; skulddiens- en ooreenkomstige vereistes; werkkapitaalvereistes; en verligtingsmaatreëls geïmplementeer deur die onderskeie regerings in ons verskillende jurisdiksies), en is tevrede dat die ""&GroupEntityCase&"", gebaseer op die beskikbare inligting ten tyde van die goedkeuring van die ""&AFS_Name&"", 'n voortgesette onderneming is vir die afsienbare toekoms."""
0FD9250B,'[IFRS+ Financials.xlsx]Directors'!$D$73,Source Adcorp Audited Consolidated Financial Statements for the year ended 29 February 2020,,Bron Adcorp Geouditeerde Gekonsolideerde Finansiële State vir die jaar geëindig 29 Februarie 2020,"'=""Bron Adcorp Geouditeerde Gekonsolideerde Finansiële State vir die jaar geëindig 29 Februarie 2020"""
5BC63DD5,'[IFRS+ Financials.xlsx]Directors'!$D$74,"The Board of Directors is focused and committed to the restructuring initiatives and debt reduction of company. The director is also of the view that there are no material uncertainties that cast doubt on the company's ability to operate. The director is also satisfied that the company has sufficient resources, or access to resources, to continue with all operating activities for the foreseeable future. Based on this assessment, the director has no reason to believe that the company will not be a going concern for the foreseeable future.","'=""The ""&BoardDescription&"" is focused and committed to the restructuring initiatives and debt reduction of ""&GroupEntityCase&"". The ""&LOWER(Director_board)&Director_is_are&"" also of the view that there are no material uncertainties that cast doubt on the ""&GroupEntityCaseAp&"" ability to operate. The ""&LOWER(Director_board)&Director_is_are&"" also satisfied that the ""&GroupEntityCase&"" has sufficient resources, or access to resources, to continue with all operating activities for the foreseeable future. Based on this assessment, the ""&LOWER(Director_board)&Director_has_have&"" no reason to believe that the ""&GroupEntityCase&"" will not be a going concern for the foreseeable future.""","Die Raad van Direkteure is gefokus en toegewyd aan die herstruktureringsinisiatiewe en skuldvermindering van die maatskappy. Die direkteur is ook van mening dat daar geen wesenlike onsekerhede is wat twyfel laat ontstaan oor die maatskappy se vermoë om voort te gaan met bedrywighede nie. Die direkteur is verder tevrede dat die maatskappy oor voldoende hulpbronne beskik, of toegang het tot hulpbronne, om met alle bedryfsaktiwiteite vir die afsienbare toekoms voort te gaan. Gebaseer op hierdie beoordeling het die direkteur geen rede om te glo dat die maatskappy nie 'n voortdurende saak vir die afsienbare toekoms sal wees nie.","'=""Die ""&BoardDescription&"" is gefokus en toegewyd aan die herstruktureringsinisiatiewe en skuldvermindering van ""&GroupEntityCase&"". Die ""&LOWER(Director_board)&Director_is_are&"" ook van mening dat daar geen wesenlike onsekerhede is wat twyfel laat ontstaan oor die ""&GroupEntityCaseAp&"" vermoë om voort te gaan met bedrywighede nie. Die ""&LOWER(Director_board)&Director_is_are&"" verder tevrede dat die ""&GroupEntityCase&"" oor voldoende hulpbronne beskik, of toegang het tot hulpbronne, om met alle bedryfsaktiwiteite vir die afsienbare toekoms voort te gaan. Gebaseer op hierdie beoordeling het die ""&LOWER(Director_board)&Director_has_have&"" geen rede om te glo dat die ""&GroupEntityCase&"" nie 'n voortdurende saak vir die afsienbare toekoms sal wees nie."""
6FD36E9C,'[IFRS+ Financials.xlsx]Directors'!$D$76,The director is not aware of any new material changes that may adversely impact the company. The director is also not aware of any material non-compliance with statutory or regulatory requirements or of any pending changes to legislation which may affect the company.,"'=""The ""&LOWER(Director_board)&""""&Director_is_are&"" not aware of any new material changes that may adversely impact the ""&EntityDescriptionCase&"". The ""&LOWER(Director_board)&""""&Director_is_are&"" also not aware of any material non-compliance with statutory or regulatory requirements or of any pending changes to legislation which may affect the ""&EntityDescriptionCase&AndGroup&"".""",Die direkteur is nie bewus van enige nuwe wesenlike veranderings wat die maatskappy nadelig mag beïnvloed nie. Die direkteur is ook nie bewus van enige wesenlike nie-nakoming van statutêre of regulatoriese vereistes of van enige hangende wetswysigings wat die maatskappy kan raak nie.,"'=""Die ""&LOWER(Director_board)&""""&Director_is_are&"" nie bewus van enige nuwe wesenlike veranderings wat die ""&EntityDescriptionCase&"" nadelig mag beïnvloed nie. Die ""&LOWER(Director_board)&""""&Director_is_are&"" ook nie bewus van enige wesenlike nie-nakoming van statutêre of regulatoriese vereistes of van enige hangende wetswysigings wat die ""&EntityDescriptionCase&AndGroup&"" kan raak nie."""
E95F06FD,'[IFRS+ Financials.xlsx]Directors'!$D$78,"The director draws attention to the statement of changes in equity in the annual financial statements which indicates that the company incurred a net loss of R0 during the year ended 28 February 2025, and as of that date, the company's total liabilities exceeded its total assets by R0. These conditions indicate the existence of uncertainty which may cast doubt about the company's ability to continue as a going concern.","'=IF(TotalEquityFinal<0,""The ""&LOWER(Director_board)&Director_draw_s&"" attention to the ""&LOWER(SUBSTITUTE(SoCE_Name,GroupDash,""""))&"" in the ""&LOWER(AFS_Name)&"" which indicates that the ""&GroupEntityCase&"" incurred a net ""&IF(TotalIncomeFinal>0,PSLower,LDLower)&"" of ""&CurrencySymbolRoundingBrackets&TEXT(ABS(TotalIncomeFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" during the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&"", and as of that date, the ""&GroupEntityCaseAp&"" total liabilities exceeded its total assets by ""&CurrencySymbolRoundingBrackets&TEXT(-TotalEquityFinal,IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"". These conditions indicate the existence of uncertainty which may cast doubt about the ""&GroupEntityCaseAp&"" ability to continue as a going concern."",""The ""&LOWER(Director_board)&Director_draw_s&"" attention to the ""&LOWER(SUBSTITUTE(SoCE_Name,GroupDash,""""))&"" in the ""&LOWER(AFS_Name)&"" which indicates that the ""&GroupEntityCase&"" incurred a net ""&IF(TotalIncomeFinal>0,PSLower,LDLower)&"" of ""&CurrencySymbolRoundingBrackets&TEXT(ABS(TotalIncomeFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" during the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&"", and as of that date, the ""&GroupEntityCaseAp&"" total liabilities exceeded its total assets by ""&CurrencySymbolRoundingBrackets&TEXT(-TotalEquityFinal,IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"". These conditions indicate the existence of uncertainty which may cast doubt about the ""&GroupEntityCaseAp&"" ability to continue as a going concern."")","Die direkteur vestig die aandag op die staat van verandering in ekwiteit in die jaarlikse finansiële state wat aandui dat die maatskappy 'n netto verlies van R0 gedurende die jaar geëindig 28 Februarie 2025 gely het, en dat die maatskappy se totale laste op daardie datum sy totale bates met R0 oorskry het. Hierdie omstandighede dui op die bestaan van onsekerheid wat twyfel kan laat ontstaan oor die maatskappy se vermoë om voort te gaan as 'n lopende saak.","'=IF(TotalEquityFinal<0,""Die ""&LOWER(Director_board)&Director_draw_s&"" aandag op die ""&LOWER(SUBSTITUTE(SoCE_Name,GroupDash,""""))&"" in die ""&LOWER(AFS_Name)&"" wat aandui dat die ""&GroupEntityCase&"" 'n netto ""&IF(TotalIncomeFinal>0,PSLower,LDLower)&"" van ""&CurrencySymbolRoundingBrackets&TEXT(ABS(TotalIncomeFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" gedurende die ""&Year_Monthperiod&"" geëindig ""&YearEndDate_Calc&"" gely het, en dat die ""&GroupEntityCaseAp&"" totale laste op daardie datum sy totale bates met ""&CurrencySymbolRoundingBrackets&TEXT(-TotalEquityFinal,IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" oorskry het. Hierdie omstandighede dui op die bestaan van onsekerheid wat twyfel kan laat ontstaan oor die ""&GroupEntityCaseAp&"" vermoë om voort te gaan as 'n lopende saak."",""Die ""&LOWER(Director_board)&Director_draw_s&"" aandag op die ""&LOWER(SUBSTITUTE(SoCE_Name,GroupDash,""""))&"" in die ""&LOWER(AFS_Name)&"" wat aandui dat die ""&GroupEntityCase&"" 'n netto ""&IF(TotalIncomeFinal>0,PSLower,LDLower)&"" van ""&CurrencySymbolRoundingBrackets&TEXT(ABS(TotalIncomeFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" gedurende die ""&Year_Monthperiod&"" geëindig ""&YearEndDate_Calc&"" gely het, en dat die ""&GroupEntityCaseAp&"" totale laste op daardie datum sy totale bates met ""&CurrencySymbolRoundingBrackets&TEXT(-TotalEquityFinal,IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" oorskry het. Hierdie omstandighede dui op die bestaan van onsekerheid wat twyfel kan laat ontstaan oor die ""&GroupEntityCaseAp&"" vermoë om voort te gaan as 'n lopende saak."")"
9E9936EC,'[IFRS+ Financials.xlsx]Directors'!$D$80,The company incurred a net profit for the year ended 28 February 2025 of R0 (2024 profit: R0). The company continues to incur losses.,"'=""The ""&EntityDescriptionCase&"" incurred a net ""&IF(TotalIncomeFinal<0,LDLower,PSLower)&"" for the ""&Period_Year&"" ended ""&YearEndDate_Calc&"" of ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalIncomeFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" (""&Prior1YearEndDate_Calc3&"" ""&IF(TotalIncomePrior1<0,LDLower,PSLower)&"": ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalIncomePrior1),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"")""&IF(TotalEquityFinal<0,"" and, as at that date its total liabilities exceeded its total assets by ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalEquityFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&IF(TotalEquityPrior1<0,"" (""&Prior1YearEndDate_Calc3&"": ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalEquityPrior1),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"")."","".""),""."")&"" The ""&EntityDescriptionCase&"" continues to incur losses.""",Die maatskappy het ’n netto wins vir die jaar geëindig 28 Februarie 2025 van R0 aangeteken (2024 wins: R0). Die maatskappy bly verliese ly.,"'=""Die ""&EntityDescriptionCase&"" het ’n netto ""&IF(TotalIncomeFinal<0,LDLower,PSLower)&"" vir die ""&Period_Year&"" geëindig ""&YearEndDate_Calc&"" van ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalIncomeFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" (""&Prior1YearEndDate_Calc3&"" ""&IF(TotalIncomePrior1<0,LDLower,PSLower)&"": ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalIncomePrior1),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"")""&IF(TotalEquityFinal<0,"" en, soos op daardie datum het sy totale laste sy totale bates oorskry met ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalEquityFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&IF(TotalEquityPrior1<0,"" (""&Prior1YearEndDate_Calc3&"": ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalEquityPrior1),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"")."","".""),""."")&"" Die ""&EntityDescriptionCase&"" bly verliese ly."""
8CFE4347,'[IFRS+ Financials.xlsx]Directors'!$D$82,"The director is negotiating with the holding company to provide additional capital or alternately to subordinate its loan to the company in favour of the other creditors until the assets of the company, fairly valued, exceed its liabilities and to provide additional working capital on an on-going basis.","'=""The ""&LOWER(Director_board)&Director_is_are&"" negotiating with the holding ""&EntityDescriptionCase&"" to provide additional capital or alternately to subordinate its loan to the ""&EntityDescriptionCase&"" in favour of the other creditors until the assets of the ""&EntityDescriptionCase&"", fairly valued, exceed its liabilities and to provide additional working capital on an on-going basis.""","Die direkteur is besig om met die houermaatskappy te onderhandel om bykomende kapitaal te voorsien of om alternatiewelik sy lening aan die maatskappy agter te stel ten gunste van die ander krediteure totdat die bates van die maatskappy, billik gewaardeer, sy laste oorskry en om op ’n deurlopende grondslag bykomende bedryfskapitaal te voorsien.","'=""Die ""&LOWER(Director_board)&Director_is_are&"" besig om met die houer""&EntityDescriptionCase&"" te onderhandel om bykomende kapitaal te voorsien of om alternatiewelik sy lening aan die ""&EntityDescriptionCase&"" agter te stel ten gunste van die ander krediteure totdat die bates van die ""&EntityDescriptionCase&"", billik gewaardeer, sy laste oorskry en om op ’n deurlopende grondslag bykomende bedryfskapitaal te voorsien."""
4A731C5E,'[IFRS+ Financials.xlsx]Directors'!$D$84,"These conditions give rise to a material uncertainty which may cast significant doubt about the company's ability to continue as a going concern and, therefore that it may be unable to realise its assets and discharge its liabilities in the normal course of business.","'=""These conditions give rise to a material uncertainty which may cast significant doubt about the ""&EntityDescriptionApCase&"" ability to continue as a going concern and, therefore that it may be unable to realise its assets and discharge its liabilities in the normal course of business.""","Hierdie toestande gee aanleiding tot ’n wesenlike onsekerheid wat beduidende twyfel kan laat ontstaan oor die maatskappy se vermoë om as ’n deurlopende saak voort te gaan en, derhalwe, dat dit moontlik nie sy bates sal kan realiseer en sy laste nakom in die gewone verloop van besigheid nie.","'=""Hierdie toestande gee aanleiding tot ’n wesenlike onsekerheid wat beduidende twyfel kan laat ontstaan oor die ""&EntityDescriptionApCase&"" se vermoë om as ’n deurlopende saak voort te gaan en, derhalwe, dat dit moontlik nie sy bates sal kan realiseer en sy laste nakom in die gewone verloop van besigheid nie."""
BA9A1314,'[IFRS+ Financials.xlsx]Directors'!$D$86,The annual financial statements are prepared on the basis of accounting policies applicable to a going concern. This basis presumes that that the company will continue to receive the support of its holding company and that the realisation of assets and settlement of liabilities will occur in the ordinary course of business.,"'=""The ""&LOWER(AFS_Name)&"" are prepared on the basis of accounting policies applicable to a going concern. This basis presumes that that the ""&EntityDescriptionCase&"" will continue to receive the support of its holding ""&EntityDescriptionCase&"" and that the realisation of assets and settlement of liabilities will occur in the ordinary course of business.""",Die jaarlikse finansiële state word opgestel op grond van die rekeningkundige beleid van 'n lopende saak. Hierdie grondslag veronderstel dat die maatskappy steeds die ondersteuning van sy houermaatskappy sal ontvang en dat die realisasie van bates en die vereffening van laste in die gewone verloop van die besigheid sal plaasvind.,"'=""Die jaarlikse finansiële state word opgestel op grond van die rekeningkundige beleid van 'n lopende saak. Hierdie grondslag veronderstel dat die ""&EntityDescriptionCase&"" steeds die ondersteuning van sy houer""&EntityDescriptionCase&"" sal ontvang en dat die realisasie van bates en die vereffening van laste in die gewone verloop van die besigheid sal plaasvind."""
3C3AB4EC,'[IFRS+ Financials.xlsx]Directors'!$D$88,"The company manufactures components used by the XXX industry in the assembly of YYY units. Due to the current economic downturn and volatility in the markets affecting volumes of YYY units that will be manufactured in the foreseeable future, the director is unable to determine the volume of the components that will be required. Consequently, the director is unable to determine whether or not the company will be able to continue to operate as a going concern or whether further impairments are required to the company's assets.","'=""The ""&EntityDescriptionCase&"" manufactures components used by the XXX industry in the assembly of YYY units. Due to the current economic downturn and volatility in the markets affecting volumes of YYY units that will be manufactured in the foreseeable future, the ""&LOWER(Director_board)&Director_is_are&"" unable to determine the volume of the components that will be required. Consequently, the ""&LOWER(Director_board)&Director_is_are&"" unable to determine whether or not the ""&EntityDescriptionCase&"" will be able to continue to operate as a going concern or whether further impairments are required to the ""&EntityDescriptionApCase&"" assets.""","Die maatskappy vervaardig komponente wat deur die XXX-bedryf gebruik word in die samestelling van YYY-eenhede. As gevolg van die huidige ekonomiese afswaai en wisselvalligheid in die markte wat die volumes van YYY-eenhede wat in die afsienbare toekoms vervaardig sal word, beïnvloed, is die direkteur nie in staat om die volume van die komponente wat benodig sal word, te bepaal nie. Gevolglik is die direkteur nie in staat om te bepaal of die maatskappy as ’n lopende saak sal kan voortgaan of of verdere waardeverminderings op die maatskappy se bates vereis word nie.","'=""Die ""&EntityDescriptionCase&"" vervaardig komponente wat deur die XXX-bedryf gebruik word in die samestelling van YYY-eenhede. As gevolg van die huidige ekonomiese afswaai en wisselvalligheid in die markte wat die volumes van YYY-eenhede wat in die afsienbare toekoms vervaardig sal word, beïnvloed, is die ""&LOWER(Director_board)&Director_is_are&"" nie in staat om die volume van die komponente wat benodig sal word, te bepaal nie. Gevolglik is die ""&LOWER(Director_board)&Director_is_are&"" nie in staat om te bepaal of die ""&EntityDescriptionCase&"" as ’n lopende saak sal kan voortgaan of of verdere waardeverminderings op die ""&EntityDescriptionApCase&"" bates vereis word nie."""
C6F71EF1,'[IFRS+ Financials.xlsx]Directors'!$D$90,"The annual financial statements have been prepared on the going concern basis, since the director has every reason to believe that the company has adequate resources in place to continue in operation for the foreseeable future.","'=""The ""&LOWER(AFS_Name)&"" have been prepared on the going concern basis, since the ""&LOWER(Director_board)&Director_has_have&"" every reason to believe that the ""&GroupEntityCase&"" has adequate resources in place to continue in operation for the foreseeable future.""","Die jaarlikse finansiële state is op die voortgesette ondernemingsgrondslag opgestel, aangesien die direkteur alle rede het om te glo dat die maatskappy oor voldoende hulpbronne beskik om vir die afsienbare toekoms voort te gaan met bedrywighede.","'=""Die ""&LOWER(AFS_Name)&"" is op die voortgesette ondernemingsgrondslag opgestel, aangesien die ""&LOWER(Director_board)&Director_has_have&"" alle rede het om te glo dat die ""&GroupEntityCase&"" oor voldoende hulpbronne beskik om vir die afsienbare toekoms voort te gaan met bedrywighede."""
4B9CF9F0,'[IFRS+ Financials.xlsx]Directors'!$D$92,"The company's ability to continue as a going concern is dependent on a number of factors. The most significant of these is the resumption of profitable operations and the continuation of the existent levels of finance from the shareholder until the company is able to meet its obligations in the ordinary course of business. The shareholder's loan has been subordinated, to the extent that the company's liabilities exceed assets, in favour of other creditors of the company.","'=""The ""&GroupEntityCaseAp&"" ability to continue as a going concern is dependent on a number of factors. The most significant of these is the resumption of profitable operations and the continuation of the existent levels of finance from ""&""the ""&LOWER(Owner)&"" until the ""&GroupEntityCase&"" is able to meet its obligations in the ordinary course of business. The ""&IF(IFERROR(Note_LoansToShare_Number,2)>1,LOWER(OwnerDescriptionPluralApostrophe)&"" loans have"",LOWER(OwnerDescriptionSingularApostrophe)&"" loan has"")&"" been subordinated, to the extent that the ""&GroupEntityCaseAp&"" liabilities exceed assets, in favour of other creditors of the ""&GroupEntityCase&"".""","Die maatskappy se vermoë om as ’n deurlopende saak voort te gaan, is afhanklik van verskeie faktore. Die mees beduidende hiervan is die hervatting van winsgewende bedrywighede en die voortsetting van die bestaande vlakke van finansiering deur die aandeelhouer totdat die maatskappy in staat is om sy verpligtinge in die gewone verloop van sake na te kom. Die aandeelhouerslening is gesubordineer, in soverre die maatskappy se laste sy bates oorskry, ten gunste van ander krediteure van die maatskappy.","'=""Die ""&GroupEntityCaseAp&"" vermoë om as ’n deurlopende saak voort te gaan, is afhanklik van verskeie faktore. Die mees beduidende hiervan is die hervatting van winsgewende bedrywighede en die voortsetting van die bestaande vlakke van finansiering deur ""&""die ""&LOWER(Owner)&"" totdat die ""&GroupEntityCase&"" in staat is om sy verpligtinge in die gewone verloop van sake na te kom. Die ""&IF(IFERROR(Note_LoansToShare_Number,2)>1,LOWER(OwnerDescriptionPluralApostrophe)&"" lenings is"",LOWER(OwnerDescriptionSingularApostrophe)&"" lening is"")&"" gesubordineer, in soverre die ""&GroupEntityCaseAp&"" laste sy bates oorskry, ten gunste van ander krediteure van die ""&GroupEntityCase&""."""
A3044A0A,'[IFRS+ Financials.xlsx]Directors'!$D$94,Events after reporting date,,Gebeure na verslagdoeningdatum,"'""Gebeure na verslagdoeningdatum"""
0FCDE91C,'[IFRS+ Financials.xlsx]Directors'!$D$96,All events subsequent to the date of the annual financial statements and for which the applicable financial reporting framework requires adjustment or disclosure have been adjusted or disclosed.,"'=""All events subsequent to the date of the ""&LOWER(AFS_Name)&"" and for which the applicable financial reporting framework requires adjustment or disclosure have been adjusted or disclosed.""","Alle gebeure ná die datum van die jaarlikse finansiële state en waarvoor die toepaslike finansiële verslagdoeningsraamwerk aanpassing of openbaarmaking vereis, is aangepas of openbaar gemaak.","'=""Alle gebeure ná die datum van die ""&LOWER(AFS_Name)&"" en waarvoor die toepaslike finansiële verslagdoeningsraamwerk aanpassing of openbaarmaking vereis, is aangepas of openbaar gemaak."""
5F69A3AE,'[IFRS+ Financials.xlsx]Directors'!$D$98,The director is not aware of any matter or circumstance arising since the end of the financial year to the date of this report that could have a material effect on the financial position of the company.,"'=""The ""&LOWER(Director_board)&Director_is_are&"" not aware of any matter or circumstance arising since the end of the financial ""&Period_Year&"" to the date of this report that could have a material effect on the financial position of the ""&EntityDescriptionCase&"".""",Die direkteur is nie bewus van enige saak of omstandigheid wat sedert die einde van die finansiële jaar tot op die datum van hierdie verslag ontstaan het wat ’n wesenlike uitwerking op die maatskappy se finansiële posisie kan hê nie.,"'=""Die ""&LOWER(Director_board)&Director_is_are&"" nie bewus van enige saak of omstandigheid wat sedert die einde van die finansiële ""&Period_Year&"" tot op die datum van hierdie verslag ontstaan het wat ’n wesenlike uitwerking op die ""&EntityDescriptionCase&"" se finansiële posisie kan hê nie."""
