Equity accounted investment in associate,Ekwiteitsgeïnvesteerde belegging in 'n geassosieerde maatskappy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impairment -Investment in joint venture ,Beperking - Belegging in gesamentlike onderneming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from equity accounted investments,Inkomste uit aandele-gekontroleerde beleggings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating lease receivables (immaterial),Bedryfsleasingsake (onbelangrik),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepaid expenses (immaterial) impairment,Voorafbetalingskoste (onbelangrik) benadeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on Sale of Biological assets,Winst/verlies op die verkoop van Biologiese bates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on sale of Biological assets,Wins/verlies op die verkoop van Biologiese bates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on Sale Of Intangible assets,Wins/verlies op die verkoop van immateriële bates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on sale Of Intangible assets,Winst/verlies op verkoop van immateriële bates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reclass. Adj. on change in value of FCBS,Reklass. Adj. op verandering in waarde van FCBS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reclass. Adj. on change in value of FCBS,Hersoneer. Adj. op verandering in waarde van FCBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short term investment classified as cash,Korttermynbelegging geklassifiseer as kontant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unearned finance income less than 1 year,ongeërfde finansiële inkomste minder as 1 jaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unearned finance income less than 1 year,Onverdiende finansiële inkomste minder as 1 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unearned finance income more than 1 year,Onverdiende finansiële inkomste van meer as 1 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction contract progress billings,Konstruksie kontrak vordering fakturering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain or loss recognised on the disposal,Wins of verlies wat erken word by die afstoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gains / losses on net monetary position,Wenste / verliese op netto geldposisie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impairment -Investment in joint venture,Impairment - Belegging in gesamentlike onderneming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to directors, managers and employ","Lenings aan direkteure, bestuurders en werknemers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remeasured defined benefit plan reserve,Herskatte gedefinieerde voordeelplanreserwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
will be reclassified to profit and loss,Sal herklassifiseer word na wins en verlies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will be reclassified to profit and loss,Sal herklassifiseer word na wins en verlies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment rates and municipal charges,Assesseringskoerse en munisipale heffings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of sales related to Finance lease,Koste van verkope verwant aan Finansiële huur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain or loss recognised on measurement,Wins of verlies wat erken word met meting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest paid in advance or in arrears,Belang betaal vooruit of agterstallig.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment property Under construction,Beleggingseiendom onder konstruksie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment property under construction,Beleggingseiendom in aanbou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to directors, managers and emplo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating lease receivables impairment,Impaar van bedryfsleasingsontvangste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other loans and receivables Impairment,Ander lenings en vorderinge Agteruitgang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale of goods Type 1- discount allowed,Verkoop van goedere Tipe 1 - korting toegelaat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale of goods Type 2- discount allowed,Verkoop van goedere Tipe 2 - afslag toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale of goods Type 3- discount allowed,Verkoop van goedere Tipe 3 - afslag toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale of goods Type 4- discount allowed,Verkoop van goedere Tipe 4 - afslag toegelaat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale of goods Type 5- discount allowed,Verkoop van goedere Tipe 5 - korting toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amounts owing to/(from) group company,Bedrae wat verskuldig is aan/ (deur) groep maatskappy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amounts owing to/(from) group company,Bedrae wat verskuldig is aan/(deur) groepmaatskappy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arising from prior period adjustments,Voortspruitend uit vorige periode-aanpassings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 1 (Bearer)(Immature),Biologiese bate 1 (Draer)(Onvolwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 2 (Bearer)(Immature),Biologiese bate 2 (Draer)(Onvolwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 3 (Bearer)(Immature),Biologiese bate 3 (Draer) (Onvolwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 4 (Bearer)(Immature),Biologiese bate 4 (Draer)(Onvolwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 5 (Bearer)(Immature),Biologiese bate 5 (Draer)(Onvolwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign currency basis spread reserve,Buitelandse valuta basis verspreiding reserwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impairment -Investment in subsidiary ,Beknibbeling - Belegging in filiaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instalment sale agreement liabilities,Maandelikse verkoopsooreenkoms verpligtinge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intangible assets other than goodwill,Ontasbare bates anders as goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-cash assets pledged as collateral,Nie-kontant bates wat as versekering belowe word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-current contract asset impairment,Nie-stroom kontrak bate agteruitgang.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating lease receivable impairment,Bedryfsleasetegoedvermindering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other revenue type 1 Discount allowed,Ander inkomstetipe 1 Korting toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other revenue Type 2 Discount allowed,Ander inkomste Tipe 2 Korting toegestaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on Sale of Joint Ventures,Wins/verlies op die verkoop van gesamentlike ondernemings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on sale of Joint Ventures,Wins/verlies op verkoop van Gesamentlike Ondernemings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred tax 1 (not able to set off),Uitgestelde belasting 1 (niet in staat om te verreken),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred tax 2 (not able to set off),Uitgestelde belasting 2 (kan nie verreken word nie),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred tax 3 (not able to set off),Uitgestelde belasting 3 (nie in staat om te verreken nie),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred tax 4 (not able to set off),Uitgestelde belasting 4 (nie aftrekbaar nie),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred tax 5 (not able to set off),Uitgestelde belasting 5 (nie in staat om te verreken nie),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends received from subsidiaries,Dividende ontvang van filiale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee costs in advance impairment,Werknemer koste vooruitbetaling verminderings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign currency translation reserve,Buitelandse geldeenheid vertalingsoorskot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highly probable forecast transaction,Hoogs waarskynlike voorspelde transaksie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impairment -Investment in associate ,Beskadiging - Belegging in medevennoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impairment -Investment in subsidiary,Beperking - Belegging in filiaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities for assets held for sale,Verpligtinge vir bates wat te koop aangehou word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petroleum and petrochemical products,petroleum en petrochemiese produkte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum and petrochemical products,Petrol en petrochemiese produkte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preliminary and share issue expenses,Voorlopige en aandeeluitgifte-uitgawes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related party receivables impairment,Verwante party se ontvangste wat verminder is.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unearned finance income 1 to 5 years,ongeërfde finansiële inkomste vir 1 tot 5 jaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset (Bearer)(Immature),Biologiese bate (Draer)(Onvolwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 1 (Bearer)(Mature),Biologiese bate 1 (Bearer)(Volwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 2 (Bearer)(Mature),Biologiese bate 2 (Draer)(Volwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 3 (Bearer)(Mature),Biologiese bate 3 (Draer)(Volwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 4 (Bearer)(Mature),Biologiese bate 4 (Draer)(Volwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitalised development expenditure,Gekapitaliseerde ontwikkelingsuitgawes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expected losses recognised creditor,verwagte verliese erkennde krediteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance lease receivable impairment,Finansiële huur ontvangbare waardevermindering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impairment and impairment reversals,Verswakking en verswakkingherstel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impairment -Investment in associate,Beskadiging - Belegging in mede-vennoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intangible assets under development,Ontasbare bates in ontwikkeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest received from subsidiaries,Rentekoerse ontvang van filiale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leased (Consider intangible assets),Gehuur (Oorweeg ontasbare bates),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levies in advance more than 2 years,Hef in die vooruit meer as 2 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levies in advance more than 3 years,Hefte wat vooraf betaal word vir langer as 3 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levies in advance more than 4 years,Heffings vooruit betaal meer as 4 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levies in advance more than 5 years,Hef in vorentoe vir meer as 5 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levies in arrears more than 2 years,Levies wat agterstallig is vir meer as 2 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levies in arrears more than 3 years,Levies agterstallig vir meer as 3 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levies in arrears more than 4 years,Heffings agterstallig vir meer as 4 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levies in arrears more than 5 years,Levies wat agterstallig is vir meer as 5 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to directors, managers and em",personeel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other financial assets A Impairment,Ander finansiële bates A Verswakking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other financial liabilities group A,Ander finansiële verpligtinge groep A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other financial liabilities group a,Ander finansiële verpligtinge groep a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other property, plant and equipment","Ander eiendom, aanleg en toerusting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on Sale of Subsidiaries,Wins/verlies op die verkoop van filiale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on sale of Subsidiaries,Wins/verlies op die verkoop van filiale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property related other income items,Eiendomverwante ander inkomste poste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
related parties  - discount allowed,verwante partye - afslag toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale of telecommunication equipment,Verkoop van telekommunikasie-toerusting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin and management fees received,Administrasie- en bestuursfooie ontvang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends received from associates,Dividende ontvang van assosiasies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity-settled share-based payment,Gelykwaardig-vereffende aandele-gebaseerde betaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fertiliser, seeds and insecticides","Meststof, saad en insekdoders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levies in advance more than 1 year,Heffings vooruitbetaal vir meer as 1 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levies in arrears more than 1 year,Levies in agterstalligheid vir meer as 1 jaar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-cash asset pledged as security,Nie-kontant bate as sekuriteit belê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owned (Consider intangible assets),Besit (Oorweeg ontasbare bates),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relating to income statement items,Verbandhoudend tot inkomstestaat poste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retained income  - Opening balance,Behoue inkomste - Beginbalans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value added taxation (VAT) balance,Waarde toegevoegde belasting (BTW) balans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset (Bearer)(Mature),Biologiese bate (Draer)(Volwasse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current contract asset impairment,Huidige kontrak batevermindering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goodwill, patents and trademarks ","Goedgunstigheid, patente en handelsmerke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on Sale of Associates,Wins/verlies op die verkoop van Medewerkers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on sale of Associates,Wins/verlies by verkoop van Vennote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxation receivable- CF investing,belasting invorderbaar - CF belegging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxation receivable- CF investing,Belasting invorderbaar - CF-belegging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable lease payments (farming),Variabele huur betalings (boerdery),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment due to error (note x),Aanpassing weens fout (nota x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin / management fees received,Administrasie / bestuursgelde ontvang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 10 (Consumable),Biologiese bate 10 (Verbruikbaar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 11 (Consumable),Biologiese bate 11 (Verbruikbare),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 12 (Consumable),Biologiese bate 12 (Vernietigbaar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 13 (Consumable),Biologiese bate 13 (Verbruikbaar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological asset 14 (Consumable),Biologiese bate 14 (Verbruikbaar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash-settled share-based payment,Kontant-beslede aandele-gebaseerde betaling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of sales / Stock Adjustment,Koste van verkope / Voorraad aanpassing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred tax 1 (able to set off),Uitgestelde belasting 1 (kan verreken word),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred tax 2 (able to set off),Uitgestelde belasting 2 (verrekenbaar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred tax 3 (able to set off),Uitgestelde belasting 3 (in staat om te verreken),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred tax 4 (able to set off),Uitgestelde belasting 4 (verrekenbaar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred tax 5 (able to set off),Uitgestelde belasting 5 (verrekenbaar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance lease contingent rentals,Finansiële huur kontingente huurkostes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goodwill, patents and trademarks","Goedwilligheid, patente en handelsmerke.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-current assets held for sale,Nie-bestedingsbates aangehou vir verkoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating lease discount allowed,Bedryfsleaserafslag toegelaat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unbilled contract revenue debtor,ongefaktureerde kontrakopbrengs debiteur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterinary services and supplies,Veeartsenydienste en -benodigdhede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissions  - discount allowed,Kommissies - afslag toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction contract expenses ,Konstruksie kontrak uitgawes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fees received from subsidiaries,Fooie ontvang van filiale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect manufacturing expenses,Indirekte vervaardigingskoste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lease rental on operating lease,Huurhuur op bedryfshuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to directors, managers an","Leen aan direkteure, bestuurders en.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans to/(from) group companies,Leninge aan/(van) groepmaatskappye.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating lease contingent rent,Bedryfshuur voorwaardelike huur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other cash and cash equivalents,Ander kontant en kontant-ekwivalente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other financial liabilities gro,Ander finansiële verpligtinge groei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other non-distributable reserve,Ander nie-verdeelbare reserwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on Foreign Exchange,Winst/verlies op Buitelandse Valuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on foreign exchange,Winst/verlies op buitelandse valuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit/loss on sale of Goodwill,Winst/verlies op die verkoop van Goedgunstigheid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right-of-use asset acc dep cost,Reg-van-gebruik bate acc afsk koste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
