Type,Valid,CellValue_English,CellFormula_English,CellValue_Afrikaans,CellFormula_Afrikaans,GUID,Sheet,Column
7CCC336C3,2,"Investment in subsidiary, joint venture or associate","=IF(IFERROR(Note_Header_EquityInvestments,"""")="""",""Investments in subsidiaries, joint ventures and associates"",Note_Header_EquityInvestments)",,,7CCC336C,SoFP,3
0B06A36B3,2,Investment in subsidiary,"=IF(IFERROR(Note_Header_InvInSubs,"""")="""",""Investments in subsidiaries"",Note_Header_InvInSubs)",,,0B06A36B,SoFP,3
6E99B3753,2,Investment in associate,"=IF(IFERROR(Note_Header_InvInAss,"""")="""",""Investments in associates"",Note_Header_InvInAss)",,,6E99B375,SoFP,3
CBF7CAF23,2,Investment in joint venture,"=IF(IFERROR(Note_Header_InvInJV,"""")="""",""Investments in joint ventures"",Note_Header_InvInJV)",,,CBF7CAF2,SoFP,3
4F54728A3,2,Inventories,"=IF(IFERROR(Note_Header_Inventories,"""")="""",""Inventories"",Note_Header_Inventories)",,,4F54728A,SoFP,3
0D3B54933,2,Trade and other receivables,"=IF(IFERROR(Note_Header_TradeOtherReceivables,"""")="""",""Trade and other receivables"",Note_Header_TradeOtherReceivables)",,,0D3B5493,SoFP,3
0E5C0C6F3,2,Levies in arrears,"=IF(IFERROR(Note_Header_LeviesInArrears,"""")="""",""Levies in arrears"",Note_Header_LeviesInArrears)",,,0E5C0C6F,SoFP,3
A9CFE2513,2,Deferred tax assets,"=IF(CountryOfIncorporation=""Canada"",""Future income tax asset"",""Deferred tax assets"")",,,A9CFE251,SoFP,3
F0AE5DA73,2,Financial assets,"=IF(IFERROR(Note_Header_OtherFinAssets,"""")="""",""Other financial assets"",Note_Header_OtherFinAssets)",,,F0AE5DA7,SoFP,3
0ED87C803,2,Listed investments,"=IF(IFERROR(Note_Header_ListedInv,"""")="""",""Listed investments"",Note_Header_ListedInv)",,,0ED87C80,SoFP,3
D86202443,2,Unlisted investments,"=IF(IFERROR(Note_Header_UnlistedInv,"""")="""",""Unlisted investments"",Note_Header_UnlistedInv)",,,D8620244,SoFP,3
5F18F41A3,2,Unit trusts,"=IF(IFERROR(Note_Header_UnitTrusts,"""")="""",""Unit trusts"",Note_Header_UnitTrusts)",,,5F18F41A,SoFP,3
6D9BBEBB3,2,Bonds,"=IF(IFERROR(Note_Header_Bonds,"""")="""",""Bonds"",Note_Header_Bonds)",,,6D9BBEBB,SoFP,3
2C3F4C033,2,Debentures,"=IF(IFERROR(Note_Header_DebAssets,"""")="""",""Debentures"",Note_Header_DebAssets)",,,2C3F4C03,SoFP,3
7DC369313,2,Other financial assets group A,"=IF(IFERROR(Note_Header_OtherFinAssetA,"""")="""",""Other financial assets A"",Note_Header_OtherFinAssetA)",,,7DC36931,SoFP,3
3EE989083,2,Other loans and receivables,"=IF(IFERROR(Note_Header_OtherLoansRec,"""")="""",""Other loans and receivables"",Note_Header_OtherLoansRec)",,,3EE98908,SoFP,3
9F8B39673,2,Foreign exchange contracts,"=IF(IFERROR(Note_Header_ForExchContracts,"""")="""",""Foreign exchange contracts"",Note_Header_ForExchContracts)",,,9F8B3967,SoFP,3
0C13C0583,2,Interest rate swaps,"=IF(IFERROR(Note_Header_IntRateSwapAsset,"""")="""",""Interest rate swaps"",Note_Header_IntRateSwapAsset)",,,0C13C058,SoFP,3
0F09EC433,2,Derivatives group A,"=IF(IFERROR(Note_Header_DerivA,"""")="""",""Derivatives group A"",Note_Header_DerivA)",,,0F09EC43,SoFP,3
2B87C6D93,2,Finance lease receivables,"=IF(IFERROR(Note_Header_FinLeaseRec,"""")="""",""Finance lease receivables"",Note_Header_FinLeaseRec)",,,2B87C6D9,SoFP,3
F6AFF74F3,2,Operating lease receivables,"=IF(IFERROR(Note_Header_OpeLeaseRec,"""")="""",""Operating lease receivable"",Note_Header_OpeLeaseRec)",,,F6AFF74F,SoFP,3
8EBBE8AA3,2,Loan to group company,"=IF(IFERROR(Note_Header_LoansToGroup,"""")="""",""Loan to group company"",Note_Header_LoansToGroup)",,,8EBBE8AA,SoFP,3
0D8FFE6D3,2,Loan to shareholder,"=IF(IFERROR(Note_Header_LoansToShare,"""")="""",""Loan to shareholder"",Note_Header_LoansToShare)",,,0D8FFE6D,SoFP,3
9A155F503,2,"Loan to director, manager or employee","=IFERROR(Note_Header_LoansToDir,""Loan to director, manager or employee"")",,,9A155F50,SoFP,3
0F9B3B883,2,Prepayments,"=IF(IFERROR(Note_Header_Prepay,"""")="""",""Prepayments"",Note_Header_Prepay)",,,0F9B3B88,SoFP,3
B9C931F03,2,Retirement benefit assets,"=IF(DisclosureType=""GRAP"",""Defined benefit plan assets"",""Retirement benefit assets"")",,,B9C931F0,SoFP,3
F116D2293,2,Member's contribution,"=IF(ShareHolder2="""",""Member's contribution"",""Members' contributions"")",,,F116D229,SoFP,3
C43EF3BB3,2,Accumulated wins,"=IFERROR(IF(IF(Consoli=1,CHOOSE(YearsToReportOn,MIN(RetainedIncomeColumnFinal,RetainedIncomeColumnOpening),MIN(RetainedIncomeColumnPrior1,RetainedIncomeColumnPriorOpening),MIN(RetainedIncomeColumnPrior2,RetainedIncomeColumnPriorOpening2),MIN(RetainedIncomeColumnPrior3,RetainedIncomeColumnPriorOpening3),MIN(RetainedIncomeColumnPrior4,RetainedIncomeColumnPriorOpening4)),CHOOSE(YearsToReportOn,MIN(RetainedIncomeColumnFinal),MIN(RetainedIncomeColumnPrior1),MIN(RetainedIncomeColumnPrior2),MIN(RetainedIncomeColumnPrior3),MIN(RetainedIncomeColumnPrior4)))>=0,IF(PSUpper=""Profit"",""Retained income"",""Accumulated ""&PSLower),IF(IF(Consoli=1,CHOOSE(YearsToReportOn,MAX(RetainedIncomeColumnFinal,RetainedIncomeColumnOpening),MAX(RetainedIncomeColumnPrior1,RetainedIncomeColumnPriorOpening),MAX(RetainedIncomeColumnPrior2,RetainedIncomeColumnPriorOpening2),MAX(RetainedIncomeColumnPrior3,RetainedIncomeColumnPriorOpening3),MAX(RetainedIncomeColumnPrior4,RetainedIncomeColumnPriorOpening4)),CHOOSE(YearsToReportOn,MAX(RetainedIncomeColumnFinal),MAX(RetainedIncomeColumnPrior1),MAX(RetainedIncomeColumnPrior2),MAX(RetainedIncomeColumnPrior3),MAX(RetainedIncomeColumnPrior4)))<=0,""Accumulated ""&LDLower,IF(MIN(RetainedIncomeColumnFirst)>=0,IF(PSUpper=""Profit"",""Retained income"",""Accumulated ""&PSLower)&"" / (""&""accumulated ""&LDLower&"")"",""(""&""Accumulated ""&LDLower&"") / ""&IF(PSUpper=""Profit"",""retained income"",""accumulated ""&PSLower)))),IF(PSUpper=""Profit"",""Retained income"",""Accumulated ""&PSLower)&"" / (""&""accumulated ""&LDLower&"")"")",,,C43EF3BB,SoFP,3
EFADB8663,2,Provisions,"=IFERROR(Note_Header_Provisions,""Provisions"")",,,EFADB866,SoFP,3
A19AAE7B3,2,Trade and other payables,"=IFERROR(Note_Header_TradePayables,""Trade and other payables"")",,,A19AAE7B,SoFP,3
0C7B6A1B3,2,Levies in advance,"=IFERROR(Note_Header_LeviesInAdvance,""Levies in advance"")",,,0C7B6A1B,SoFP,3
9C93F57D3,2,Deferred tax liabilities,"=IF(CountryOfIncorporation=""Canada"",""Future income tax liabilities"",""Deferred tax liabilities"")",,,9C93F57D,SoFP,3
FA69FD863,2,Financial liabilities,"=IFERROR(Note_Header_OtherFinLiabilities,""Other financial liabilities"")",,,FA69FD86,SoFP,3
FCB25FF33,2,Debentures,"=IFERROR(Note_Header_DebLiab,""Debentures"")",,,FCB25FF3,SoFP,3
6C3667573,2,Other financial liabilities group A,"=IFERROR(Note_Header_OtherFinLiabA,""Other financial liabilities group A"")",,,6C366757,SoFP,3
0CC3B9563,2,Loans group A,"=IFERROR(Note_Header_LoansA,""Loans group A"")",,,0CC3B956,SoFP,3
B05FF6AE3,2,Foreign exchange contracts,"=IFERROR(Note_Header_ForExchLiab,""Foreign exchange contracts"")",,,B05FF6AE,SoFP,3
F91FE4103,2,Interest rate swaps,"=IFERROR(Note_Header_IntRateSwapLiab,""Interest rate swaps"")",,,F91FE410,SoFP,3
B4F537053,2,Derivatives group A,"=IFERROR(Note_Header_DerivLiabA,""Derivatives group A"")",,,B4F53705,SoFP,3
3DF145913,2,Lease liabilities,"=IFERROR(Note_Header_FinLeaseLiab,""Finance lease obligations"")",,,3DF14591,SoFP,3
2B80DE493,2,Operating lease liabilities,"=IFERROR(Note_Header_OperatingLeaseLiab,""Operating lease liabilities"")",,,2B80DE49,SoFP,3
7B4404813,2,Bank loans group A,"=IFERROR(Note_Header_BankLoanA,""Bank loans group A"")",,,7B440481,SoFP,3
5F9AD8463,2,Mortgage bonds,"=IFERROR(Note_Header_MortgageBond,""Mortgage bonds"")",,,5F9AD846,SoFP,3
9E604F4D3,2,Instalment sales agreements,"=IFERROR(Note_Header_ISA,""Instalment sales agreements"")",,,9E604F4D,SoFP,3
B318A6F03,2,Redeemable preference shares,"=IFERROR(Note_Header_PrefShares,""Redeemable preference shares"")",,,B318A6F0,SoFP,3
5EE195A43,2,Dividend payable,"=IFERROR(Note_Header_DivPayable,""Dividends payable"")",,,5EE195A4,SoFP,3
CD0DBA183,2,Compound instruments,"=IFERROR(Note_Header_CompoundInstruments,""Compound instruments"")",,,CD0DBA18,SoFP,3
5F1F0AD33,2,Loan from group company,"=IFERROR(Note_Header_LoansFromGroup,""Loan from group company"")",,,5F1F0AD3,SoFP,3
6D5D89BC3,2,Loan from shareholder,"=IFERROR(Note_Header_LoansFromShare,""Loan from shareholder"")",,,6D5D89BC,SoFP,3
AA05DE0D3,2,"Loan from director, manager or employee","=IFERROR(Note_Header_LoansFromDir,""Loan from director, manager or employee"")",,,AA05DE0D,SoFP,3
0BD4BC973,2,Deferred income,"=IFERROR(Note_Header_DeferredIncome,""Deferred income"")",,,0BD4BC97,SoFP,3
CD64B4903,2,Retirement benefit obligations,"=IF(DisclosureType=""GRAP"",""Defined benefit plan liabilities"",""Retirement benefit obligations"")",,,CD64B490,SoFP,3
D437D3F73,2,Revenue,"=IF(PresentedSoCI=""IFRS17"",""Other revenue"",""Revenue"")",,,D437D3F7,SoCI,3
8B44DA683,2,Finance income,"=IF(PresentedSoCI=""IFRS17"",""Other finance income"",""Finance income"")",,,8B44DA68,SoCI,3
4ED6A4553,2,Finance costs,"=IF(PresentedSoCI=""IFRS17"",""Other finance costs"",""Finance costs"")",,,4ED6A455,SoCI,3
5C5DD39F3,2,Components of other comprehensive income that will not be reclassified to wins or verlies,"=""Components of other comprehensive income that will not be reclassified to ""&PSLower&"" or ""&LDLower",,,5C5DD39F,SoCI,3
1F86E66A3,2,Share of other comprehensive income of associates and joint ventures accounted for using equity method that will not be reclassified to wins or verlies,"=""Share of other comprehensive income of associates and joint ventures accounted for using equity method that will not be reclassified to ""&PSLower&"" or ""&LDLower",,,1F86E66A,SoCI,3
6F8C38163,2,Total other comprehensive income that will not be reclassified to wins or verlies,"=""Total other comprehensive income that will not be reclassified to ""&PSLower&"" or ""&LDLower",,,6F8C3816,SoCI,3
A94A74383,2,Components of other comprehensive income that will be reclassified to wins or verlies,"=""Components of other comprehensive income that will be reclassified to ""&PSLower&"" or ""&LDLower",,,A94A7438,SoCI,3
F1DAFA0E3,2,Share of other comprehensive income of associates and joint ventures accounted for using equity method that will be reclassified to wins or verlies,"=""Share of other comprehensive income of associates and joint ventures accounted for using equity method that will be reclassified to ""&PSLower&"" or ""&LDLower",,,F1DAFA0E,SoCI,3
5EEA7BC73,2,Total other comprehensive income that will be reclassified to wins or verlies,"=""Total other comprehensive income that will be reclassified to ""&PSLower&"" or ""&LDLower",,,5EEA7BC7,SoCI,3
F28BAEE13,2,Transfers between equity,"=""Transfers between ""&IF(EntityType=""Trust"",""trust funds"",""equity"")",,,F28BAEE1,SoCI,3
C612386F9,2,Issued capital,"=CapitalNaming&IF(CurrencySymbolLoc=1,CurrencySymbolAdd,"""")",,,C612386F,SoCE,9
C612386F13,2,Other reserves,"=""Other reserves""&IF(CurrencySymbolLoc=1,CurrencySymbolAdd,"""")",,,C612386F,SoCE,13
C612386F22,2,Attributable to owners of the parent,"=""Attributable to owners of the ""&IF(DisclosureType=""GRAP"",""controlling entity"",""parent"")&IF(CurrencySymbolLoc=1,CurrencySymbolAdd,"""")",,,C612386F,SoCE,22
C612386F23,2,Non-controlling interests,"=""Non-controlling interests""&IF(CurrencySymbolLoc=1,CurrencySymbolAdd,"""")",,,C612386F,SoCE,23
C612386F24,2,Total,"=""Total""&IF(CurrencySymbolLoc=1,CurrencySymbolAdd,"""")",,,C612386F,SoCE,24
6DAEE4B03,2,Changes in ekwiteit,"=""Changes in ""&LOWER(EquityNaming)",,,6DAEE4B0,SoCE,3
3BDA3E1C3,2,Wins for the year,"=IF(SoCEProfitTotalPrior4>=0,PSUpper,LDUpper)&"" for the ""&Prior4_Period_Year",,,3BDA3E1C,SoCE,3
7BFE60CE3,2,Other comprehensive income,"=IF(DisclosureType=""GRAP"",""Revenue and expenses recognised directly in net assets"",""Other comprehensive income"")",,,7BFE60CE,SoCE,3
0D9BD1543,2,Total comprehensive income for the year,"=IF(DisclosureType=""GRAP"",IF(SoCETotalCIPrior4>0,PSUpper,LDUpper)&"" for the period"",""Total comprehensive income for the ""&Period_Year)",,,0D9BD154,SoCE,3
F0C0ED623,2,Issue of equity,"=IF(EntityType=""Trust"",""Donations received"",""Issue of equity"")",,,F0C0ED62,SoCE,3
EC05ED4C3,2,Dividend recognised as distributions to aandeelhouer,"=DistributionNaming&"" recognised as distributions to ""&LOWER(Owner)",,,EC05ED4C,SoCE,3
3EEC62AA3,2,Increase through other contributions by aandeelhouer,"=""Increase through other contributions by ""&LOWER(Owner)",,,3EEC62AA,SoCE,3
9D6A88443,2,Decrease through other distributions to aandeelhouer,"=""Decrease through other distributions to ""&LOWER(Owner)",,,9D6A8844,SoCE,3
3FFB7B7E3,2,Increase (decrease) through changes in ownership interests in subsidiaries that do not result in loss of control,"=""Increase (decrease) through changes in ownership interests in ""&IF(DisclosureType=""GRAP"",""controlled entities"",""subsidiaries"")&"" that do not result in loss of control""",,,3FFB7B7E,SoCE,3
B94DAEA63,2,Increase (decrease) through changes in ownership interests in subsidiaries,"=""Increase (decrease) through changes in ownership interests in ""&IF(DisclosureType=""GRAP"",""controlled entities"",""subsidiaries"")",,,B94DAEA6,SoCE,3
D696C6323,2,Transfers between ekwiteit,"=""Transfers between ""&LOWER(EquityNaming)",,,D696C632,SoCE,3
9DF2327F3,2,Wins for the year,"=IF(SoCEProfitTotalPrior3>=0,PSUpper,LDUpper)&"" for the ""&Prior3_Period_Year",,,9DF2327F,SoCE,3
E15F35BB3,2,Total comprehensive income for the year,"=IF(DisclosureType=""GRAP"",IF(SoCETotalCIPrior3>0,PSUpper,LDUpper)&"" for the period"",""Total comprehensive income for the ""&Period_Year)",,,E15F35BB,SoCE,3
7A9C6F2A3,2,Wins for the year,"=IF(SoCEProfitTotalPrior2>=0,PSUpper,LDUpper)&"" for the ""&Prior2_Period_Year",,,7A9C6F2A,SoCE,3
0A206C3C3,2,Total comprehensive income for the year,"=IF(DisclosureType=""GRAP"",IF(SoCETotalCIPrior2>0,PSUpper,LDUpper)&"" for the period"",""Total comprehensive income for the ""&Period_Year)",,,0A206C3C,SoCE,3
3AF048B33,2,Wins for the year,"=IF(SoCEProfitTotalPrior1>=0,PSUpper,LDUpper)&"" for the ""&Prior1_Period_Year",,,3AF048B3,SoCE,3
D55880BA3,2,Total comprehensive income for the year,"=IF(DisclosureType=""GRAP"",IF(SoCETotalCIPrior1>0,PSUpper,LDUpper)&"" for the period"",""Total comprehensive income for the ""&Period_Year)",,,D55880BA,SoCE,3
7A7150473,2,Total comprehensive income for the year,"=IF(DisclosureType=""GRAP"",IF(SoCETotalCIFinal>0,PSUpper,LDUpper)&"" for the period"",""Total comprehensive income for the ""&Period_Year)",,,7A715047,SoCE,3
EA3C10C29,2,,"=IFERROR(IF(Note_Num_Capital="""","""",INT(Note_Num_Capital)),IFERROR(IF(Note_Num_MembCont="""","""",INT(Note_Num_MembCont)),IFERROR(IF(Note_Num_CapitalAccount="""","""",INT(Note_Num_CapitalAccount)),IFERROR(IF(Note_Num_CapContributions="""","""",INT(Note_Num_CapContributions)),IFERROR(IF(Note_Num_OwnersNetInvestment="""","""",INT(Note_Num_OwnersNetInvestment)),"""")))))",,,EA3C10C2,SoCE,9
EA3C10C213,2,,"=IFERROR(IF(Note_Num_Reserves="""","""",INT(Note_Num_Reserves)),"""")",,,EA3C10C2,SoCE,13
3D2D48AD3,2,Cash flows from operations,"=""Cash flows ""&IF(COUNTIFS(NetCashFlowsUsedInOperationsTotalRow,""<0"",CashFlowPrintCalcRow,1)=0,""from"",IF(COUNTIFS(NetCashFlowsUsedInOperationsTotalRow,"">0"",CashFlowPrintCalcRow,1)=0,""used in"",IF(CashFlowColumnOne=""H"",IF(CashFlowNetCashUsedAltColumn>0,""from / (used in)"",""(used in) / from""),IF(CashFlowNetCashUsedFirstColumn>0,""from / (used in)"",""(used in) / from""))))&"" operations""",,,3D2D48AD,CashFlow,3
7A1743943,2,Cash paid to suppliers and employees,"=""Cash paid to suppliers""&IF(EmployeeReferences<>""N"","" and employees"","""")",,,7A174394,CashFlow,3
6F75F2F93,2,Wins for the year,"=CHOOSE(IF(MIN(CashFlowProfitLossRow)>=0,1,IF(MAX(CashFlowProfitLossRow)<=0,2,IF(CashFlowProfitLossFirstColumn>0,3,4))),PSUpper&"" for the ""&Period_Year,LDUpper&"" for the ""&Period_Year,PSUpper&"" / (""&LDLower&"") for the ""&Period_Year,""(""&LDUpper&"") / ""&PSLower&"" for the ""&Period_Year)",,,6F75F2F9,CashFlow,3
8B8579903,2,Adjustments to reconcile wins,"=""Adjustments to reconcile ""&IF(MIN(CashFlowProfitLossRow)>=0,PSLower,IF(MAX(CashFlowProfitLossRow)<=0,LDLower,IF(CashFlowProfitLossFirstColumn>0,PSLower&"" / (""&LDLower&"")"",""(""&LDLower&"") / ""&PSLower)))",,,8B857990,CashFlow,3
DDA992163,2,Adjustments for impairment losses and reversal of impairment losses recognised in wins or verlies,"=""Adjustments for impairment losses and reversal of impairment losses recognised in ""&PSLower&"" or ""&LDLower",,,DDA99216,CashFlow,3
0AE04BE73,2,Adjustments for gains and losses on foreign exchange realised in wins or verlies,"=""Adjustments for gains and losses on foreign exchange realised in ""&PSLower&"" or ""&LDLower",,,0AE04BE7,CashFlow,3
E94C1C013,2,Other adjustments to reconcile wins (verlies) 1,"=""Other adjustments to reconcile ""&PSLower&"" (""&LDLower&"") 1""",,,E94C1C01,CashFlow,3
A2589DAF3,2,Other adjustments to reconcile wins (verlies) 2,"=""Other adjustments to reconcile ""&PSLower&"" (""&LDLower&"") 2""",,,A2589DAF,CashFlow,3
4DB74A163,2,Total adjustments to reconcile wins,"=""Total adjustments to reconcile ""&IF(MIN(CashFlowProfitLossRow)>=0,PSLower,IF(MAX(CashFlowProfitLossRow)<=0,LDLower,IF(CashFlowProfitLossFirstColumn>0,PSLower&"" / (""&LDLower&"")"",""(""&LDLower&"") / ""&PSLower)))",,,4DB74A16,CashFlow,3
2F05B7F93,2,Net cash flows from operations,"=CHOOSE(IF(COUNTIFS(NetCashFlowsUsedInOperationsTotalRow,""<0"",CashFlowPrintCalcRow,1)=0,1,IF(COUNTIFS(NetCashFlowsUsedInOperationsTotalRow,"">0"",CashFlowPrintCalcRow,1)=0,2,IF(CashFlowColumnOne=""H"",IF(NetCashFlowsUsedInOperationsAltColumn>0,3,4),IF(NetCashFlowsUsedInOperationsFirstColumn>0,3,4)))),""Net cash flows from operations"",""Net cash flows used in operations"",""Net cash flows from / (used in) operations"",""Net cash flows (used in) / from operations"")",,,2F05B7F9,CashFlow,3
2F05B7F96,2,,"=IFERROR(IF(Note_Num_CashFlowOpAct=0,"""",VALUE(Note_Num_CashFlowOpAct)),"""")",,,2F05B7F9,CashFlow,6
0A7D16A13,2,Net cash flows from operations,"=""Net cash flows ""&IF(COUNTIFS(NetCashFlowsUsedInOperationsTotalRow2,""<0"",CashFlowPrintCalcRow,1)=0,""from"",IF(COUNTIFS(NetCashFlowsUsedInOperationsTotalRow2,"">0"",CashFlowPrintCalcRow,1)=0,""used in"",IF(CashFlowColumnOne=""H"",IF(NetCashFlowsUsedInOperationsAltColumn2>0,""from / (used in)"",""(used in) / from""),IF(NetCashFlowsUsedInOperationsFirstColumn2>0,""from / (used in)"",""(used in) / from""))))&"" operations""",,,0A7D16A1,CashFlow,3
E51DB05B3,2,Dividend paid,"=DistributionNaming&"" paid""",,,E51DB05B,CashFlow,3
E51DB05B6,2,,"=IFERROR(IF(Note_Num_DivPaid<>"""",INT(Note_Num_DivPaid),""""),"""")",,,E51DB05B,CashFlow,6
C7C399E16,2,,"=IFERROR(IF(Note_Num_IncomeTaxPaid<>"""",INT(Note_Num_IncomeTaxPaid),""""),"""")",,,C7C399E1,CashFlow,6
9BF625E23,2,Wins or verlies on sale of income statement items,"=PSUpper&"" or ""&LDLower&"" on sale of income statement items""",,,9BF625E2,CashFlow,3
DEEA48E43,2,Foreign exchange gains and losses on statement of financial position items,"=""Foreign exchange gains and losses on ""&LOWER(SoFP_Name)&"" items""",,,DEEA48E4,CashFlow,3
1C2478F43,2,Net cash flows from operating activities,"=""Net cash flows ""&IF(COUNTIFS(NetCashFlowsUsedInOpActTotalRow,""<0"",CashFlowPrintCalcRow,1)=0,""from"",IF(COUNTIFS(NetCashFlowsUsedInOpActTotalRow,"">0"",CashFlowPrintCalcRow,1)=0,""used in"",IF(CashFlowColumnOne=""H"",IF(NetCashFlowsUsedInOpActAltColumn>0,""from / (used in)"",""(used in) / from""),IF(NetCashFlowsUsedInOpActFirstColumn>0,""from / (used in)"",""(used in) / from""))))&"" operating activities""",,,1C2478F4,CashFlow,3
5E5FF2243,2,Cash flows from investing activities,"=""Cash flows ""&IF(COUNTIFS(NetCashFlowsUsedInInvActTotalRow,""<0"",CashFlowPrintCalcRow,1)=0,""from"",IF(COUNTIFS(NetCashFlowsUsedInInvActTotalRow,"">0"",CashFlowPrintCalcRow,1)=0,""used in"",IF(CashFlowColumnOne=""H"",IF(NetCashFlowsUsedInInvActAltColumn>0,""from / (used in)"",""(used in) / from""),IF(NetCashFlowsUsedInInvActFirstColumn>0,""from / (used in)"",""(used in) / from""))))&"" investing activities""",,,5E5FF224,CashFlow,3
FE64128F6,2,,"=IF(IFERROR(Note_Num_CashFlow_PPEProceeds,"""")="""","""",INT(Note_Num_CashFlow_ProceedsandPurchase))",,,FE64128F,CashFlow,6
6E2DA4916,2,,"=IF(IFERROR(Note_Num_CashFlow_PPEPurchase,"""")="""","""",INT(Note_Num_CashFlow_ProceedsandPurchase))",,,6E2DA491,CashFlow,6
6FC375346,2,,"=IF(IFERROR(Note_Num_CashFlow_IPropProceeds,"""")="""","""",INT(Note_Num_CashFlow_ProceedsandPurchase))",,,6FC37534,CashFlow,6
FC64EFE66,2,,"=IF(IFERROR(Note_Num_CashFlow_IPropPurchase,"""")="""","""",INT(Note_Num_CashFlow_ProceedsandPurchase))",,,FC64EFE6,CashFlow,6
DB72F8846,2,,"=IF(IFERROR(Note_Num_CashFlow_IAProceeds,"""")="""","""",INT(Note_Num_CashFlow_ProceedsandPurchase))",,,DB72F884,CashFlow,6
E9F1E02F6,2,,"=IF(IFERROR(Note_Num_CashFlow_IAPurchase,"""")="""","""",INT(Note_Num_CashFlow_ProceedsandPurchase))",,,E9F1E02F,CashFlow,6
EB20DAA56,2,,"=IF(IFERROR(Note_Num_CashFlow_BAProceeds,"""")="""","""",INT(Note_Num_CashFlow_ProceedsandPurchase))",,,EB20DAA5,CashFlow,6
BAFBACBA6,2,,"=IF(IFERROR(Note_Num_CashFlow_BAPurchase,"""")="""","""",INT(Note_Num_CashFlow_ProceedsandPurchase))",,,BAFBACBA,CashFlow,6
E751864C6,2,,"=IF(IFERROR(Note_Num_CashFlow_Impact,"""")="""","""",INT(Note_Num_CashFlow_ProceedsandPurchase))",,,E751864C,CashFlow,6
BE1DCBFA3,2,Loan advanced to group entity,"=IF(SUM(COUNTIFS(Vlink,""?.730.???.N"",VFinal,""<>0"")-COUNTIFS(Vlink,""?.730.699.N"",VFinal,""<>0""),COUNTIFS(Vlink,""?.730.???.P"",VFinal,""<>0"")-COUNTIFS(Vlink,""?.730.699.P"",VFinal,""<>0""))>1,""Loans advanced to group ""&IF(EntityDescription=""Company"",""companies"",""entities""),""Loan advanced to group ""&IF(EntityDescription=""Company"",""company"",""entity""))",,,BE1DCBFA,CashFlow,3
0D87E7823,2,Repayment of loan to group entity,"=IF(SUM(COUNTIFS(Vlink,""?.730.???.N"",VFinal,""<>0"")-COUNTIFS(Vlink,""?.730.699.N"",VFinal,""<>0""),COUNTIFS(Vlink,""?.730.???.P"",VFinal,""<>0"")-COUNTIFS(Vlink,""?.730.699.P"",VFinal,""<>0""))>1,""Repayment of loans to group ""&IF(EntityDescription=""Company"",""companies"",""entities""),""Repayment of loan to group ""&IF(EntityDescription=""Company"",""company"",""entity""))",,,0D87E782,CashFlow,3
C08C499E3,2,Loans advanced to aandeelhouers,"=""Loans advanced to ""&LOWER(OwnerDescriptionPlural)",,,C08C499E,CashFlow,3
C7A7A5343,2,Repayment of loans to aandeelhouers,"=""Repayment of loans to ""&LOWER(OwnerDescriptionPlural)",,,C7A7A534,CashFlow,3
BCECC5213,2,"Loan advanced to director, manager or employee","=SUBSTITUTE(IFERROR(Note_Header_LoansToDir,""Loan to director, manager or employee""),"" to "","" advanced to "")",,,BCECC521,CashFlow,3
CF0044393,2,"Repayment of loan to director, manager or employee","=""Repayment of ""&LOWER(IFERROR(Note_Header_LoansToDir,""Loan to director, manager or employee""))",,,CF004439,CashFlow,3
B34388A33,2,Cash flows from financing activities,"=""Cash flows ""&IF(COUNTIFS(NetCashFlowsUsedInFinActTotalRow,""<0"",CashFlowPrintCalcRow,1)=0,""from"",IF(COUNTIFS(NetCashFlowsUsedInFinActTotalRow,"">0"",CashFlowPrintCalcRow,1)=0,""used in"",IF(CashFlowColumnOne=""H"",IF(NetCashFlowsUsedInFinActAltColumn>0,""from / (used in)"",""(used in) / from""),IF(NetCashFlowsUsedInFinActFirstColumn>0,""from / (used in)"",""(used in) / from""))))&"" financing activities""",,,B34388A3,CashFlow,3
9C0C57933,2,Changes in issued capital,"=IF(EntityType=""Company"",""Proceeds from ""&IF(IFERROR(COUNTIFS(CashFlowSharesRow,""<0"",CashFlowPrintCalcRow,1),0)=0,""issuing"",IF(COUNTIFS(CashFlowSharesRow,"">0"",CashFlowPrintCalcRow,1)=0,""buyback"",IF(CashFlowColumnOne=""H"",IF(SUM(CashFlowSharesAltColumn)>0,""issuing / (buyback of)"",""(buyback of) / issuing""),IF(SUM(CashFlowSharesFirstColumn)>0,""issuing / (buyback of)"",""(buyback of) / issuing""))))&"" shares"",""Changes in ""&LOWER(CapitalNaming))",,,9C0C5793,CashFlow,3
4DC7D9563,2,Proceeds from issuing other equity instruments,"=""Proceeds from issuing other ""&IF(EntityType=""Trust"",""trust funds"",""equity instruments"")",,,4DC7D956,CashFlow,3
7E46DF693,2,Payments of other equity instruments,"=""Payments of other ""&IF(EntityType=""Trust"",""trust funds"",""equity instruments"")",,,7E46DF69,CashFlow,3
0B9EA0F63,2,Repayment of lease liabilities,"=""Repayment of ""&IF(DisclosureType=""IFRS"",""lease liabilities"",""finance lease obligations"")",,,0B9EA0F6,CashFlow,3
AF220CA43,2,Proceeds from lease liabilities,"=""Proceeds from ""&IF(DisclosureType=""IFRS"",""lease liabilities"",""finance lease obligations"")",,,AF220CA4,CashFlow,3
